ID,Study,Reference,Grouping,Analyte,t0,tend,t Unit,AUC Avg,AUC AvgUnit,AUC AvgType,AUC Var,AUC VarUnit,AUC VarType,AUC Type,Cmax Avg,Cmax AvgUnit,Cmax AvgType,Cmax Var,Cmax VarUnit,Cmax VarType,Cmax Type,CL Avg,CL AvgUnit,CL AvgType,CL Var,CL VarUnit,CL VarType,CL Type,Comment,Notghi
5384,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,12-16y 10mgkgday,Pregabalin,0,12,h,48,µg*h/mL,geo. mean,43,%,CV%,AUC_inf,6.7,µg/mL,Geom.mean,59,%,CV%,Cmax,85.9,mL/min,Geo.mean,17,%,CV%,CL/F,,
5385,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,12-16y 5mgkgday,Pregabalin,0,12,h,27.8,µg*h/mL,geo. mean,8,%,CV%,AUC_inf,5.4,µg/mL,Geom.mean,14,%,CV%,Cmax,78.4,mL/min,Geo.mean,12,%,CV%,CL/F,,
5386,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,12-16y 2.5mgkgday,Pregabalin,0,12,h,12.4,µg*h/mL,geo. mean,19,%,CV%,AUC_inf,2.1,µg/mL,Geom.mean,26,%,CV%,Cmax,90.6,mL/min,Geo.mean,26,%,CV%,CL/F,,
5387,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,1-23m 15mgkgday,Pregabalin,0,12,h,72.7,µg*h/mL,geo. mean,,,,AUC_inf,11.45,µg/mL,Geom.mean,,,,Cmax,13.35,mL/min,Geo.mean,,,,CL/F,calculated arith.mean as 2 values reported due to only 2 indviduals,
5388,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,1-23m 10mgkgday,Pregabalin,0,12,h,38.3,µg*h/mL,geo. mean,6,%,CV%,AUC_inf,7.5,µg/mL,Geom.mean,16,%,CV%,Cmax,18.5,mL/min,Geo.mean,49,%,CV%,CL/F,,
5389,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,1-23m 5mgkgday,Pregabalin,0,12,h,18.9,µg*h/mL,geo. mean,25,%,CV%,AUC_inf,3.9,µg/mL,Geom.mean,10,%,CV%,Cmax,17.7,mL/min,Geo.mean,47,%,CV%,CL/F,,
5390,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,1-23m 2.5mgkgday,Pregabalin,0,12,h,9.5,µg*h/mL,geo. mean,22,%,CV%,AUC_inf,1.8,µg/mL,Geom.mean,24,%,CV%,Cmax,19,mL/min,Geo.mean,10,%,CV%,CL/F,,
5391,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,2-6y 15mgkgday,Pregabalin,0,12,h,62.3,µg*h/mL,geo. mean,25,%,CV%,AUC_inf,14.1,µg/mL,Geom.mean,9,%,CV%,Cmax,30.5,mL/min,Geo.mean,9,%,CV%,CL/F,,
5392,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,2-6y 10mgkgday,Pregabalin,0,12,h,29.7,µg*h/mL,geo. mean,,,,AUC_inf,4.55,µg/mL,Geom.mean,,,,Cmax,21.75,mL/min,Geo.mean,,,,CL/F,calculated arith.mean as 2 values reported due to only 2 indviduals,
5393,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,2-6y 5mgkgday,Pregabalin,0,12,h,17.95,µg*h/mL,geo. mean,,,,AUC_inf,1.7,µg/mL,Geom.mean,,,,Cmax,38.3,mL/min,Geo.mean,,,,CL/F,calculated arith.mean as 2 values reported due to only 2 indviduals,
5394,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,2-6y 2.5mgkgday,Pregabalin,0,12,h,10,µg*h/mL,geo. mean,30,%,CV%,AUC_inf,2,µg/mL,Geom.mean,6,%,CV%,Cmax,34.2,mL/min,Geo.mean,61,%,CV%,CL/F,,
5395,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,7-11y 15mgkgday,Pregabalin,0,12,h,69.25,µg*h/mL,geo. mean,,,,AUC_inf,15.2,µg/mL,Geom.mean,,,,Cmax,32.55,mL/min,Geo.mean,,,,CL/F,calculated arith.mean as 2 values reported due to only 2 indviduals,
5396,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,7-11y 10mgkgday,Pregabalin,0,12,h,39.3,µg*h/mL,geo. mean,,,CV%,AUC_inf,,µg/mL,Geom.mean,,,,Cmax,63.7,mL/min,Geo.mean,,,,CL/F,,
5397,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,7-11y 5mgkgday,Pregabalin,0,12,h,24.3,µg*h/mL,geo. mean,11,%,CV%,AUC_inf,,µg/mL,Geom.mean,14,%,CV%,Cmax,49.5,mL/min,Geo.mean,19,%,CV%,CL/F,,
5398,Mann 2014,https://www.ncbi.nlm.nih.gov/pubmed/25377429,7-11y 2.5mgkgday,Pregabalin,0,12,h,14.3,µg*h/mL,geo. mean,26,%,CV%,AUC_inf,,µg/mL,Geom.mean,26,%,CV%,Cmax,58.2,mL/min,Geo.mean,42,%,CV%,CL/F,,
5399,Walker 1979,https://www.ncbi.nlm.nih.gov/pubmed/762009,Volunteer 9,Amikacin,0,8,h,,,,,,,,,,,,,,,90.1,mL/min,Individual,,,,CLiv,,
5400,Walker 1979,https://www.ncbi.nlm.nih.gov/pubmed/762009,population,Amikacin,0,8,h,,,,,,,,,,,,,,,84.6,mL/min,Arith.mean,18,mL/min,arith. SD,CLiv,,
5417,Walker 1979,https://www.ncbi.nlm.nih.gov/pubmed/762009,Volunteer 6,Amikacin,0,8,h,,,,,,,,,,,,,,,66,mL/min,Individual,,,,CLiv,,
